scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk24.phasemiddle.tightloose.s20260910,kv_constrained_online,high,middle,loose,20260910,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.0378333333333334,1936,4860,3383
kvp2.bulk24.phasemiddle.tightloose.s20260911,least_laxity_first,high,middle,loose,20260911,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.1281666666666668,3249,3508,0
kvp2.bulk24.phasemiddle.tightloose.s20260912,kv_constrained_online,high,middle,loose,20260912,False,success,0.7941176470588235,0.7941176470588235,1.0,24,0.7083333333333334,10,1.0,1.0503333333333333,1630,4226,2800
kvp2.bulk24.phasemiddle.tightloose.s20260911,kv_constrained_online,high,middle,loose,20260911,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.0831666666666666,2037,4366,3148
kvp2.bulk24.phasemiddle.tightloose.s20260912,least_laxity_first,high,middle,loose,20260912,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.0695,3190,3423,0
kvp2.bulk24.phasemiddle.tightloose.s20260913,least_laxity_first,high,middle,loose,20260913,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.1651666666666667,2327,4123,0
kvp2.bulk24.phasemiddle.tightloose.s20260914,least_laxity_first,high,middle,loose,20260914,True,success,0.9411764705882353,0.9411764705882353,1.0,24,0.9166666666666666,10,1.0,1.0848333333333333,2103,2635,0
kvp2.bulk24.phasemiddle.tightloose.s20260914,kv_constrained_online,high,middle,loose,20260914,True,success,0.9411764705882353,0.9411764705882353,1.0,24,0.9166666666666666,10,1.0,1.0818333333333334,1709,2784,5264
kvp2.bulk24.phasemiddle.tightloose.s20260915,least_laxity_first,high,middle,loose,20260915,True,success,0.6764705882352942,0.6764705882352942,1.0,24,0.5416666666666666,10,1.0,1.0893333333333333,3355,3987,0
kvp2.bulk24.phasemiddle.tighttight.s20260910,least_laxity_first,high,middle,tight,20260910,False,success,0.6470588235294118,0.6470588235294118,1.0,24,0.6666666666666666,10,0.6,1.1346666666666667,2538,4369,0
kvp2.bulk24.phasemiddle.tighttight.s20260910,kv_constrained_online,high,middle,tight,20260910,False,success,0.6470588235294118,0.6470588235294118,1.0,24,0.625,10,0.7,1.1293333333333333,1915,4851,897
kvp2.bulk24.phasemiddle.tightloose.s20260915,kv_constrained_online,high,middle,loose,20260915,True,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.1046666666666667,2054,4872,2905
kvp2.bulk24.phasemiddle.tighttight.s20260911,kv_constrained_online,high,middle,tight,20260911,False,success,0.6176470588235294,0.6176470588235294,1.0,24,0.625,10,0.6,1.043,1973,4520,284
kvp2.bulk24.phasemiddle.tighttight.s20260911,least_laxity_first,high,middle,tight,20260911,False,success,0.4117647058823529,0.4117647058823529,1.0,24,0.5833333333333334,10,0.0,1.1281666666666668,3249,3508,0
kvp2.bulk24.phasemiddle.tighttight.s20260912,kv_constrained_online,high,middle,tight,20260912,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.6666666666666666,10,0.8,1.0743333333333334,2419,4075,1024
kvp2.bulk24.phasemiddle.tightloose.s20260913,kv_constrained_online,high,middle,loose,20260913,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.0456666666666667,1486,4672,5054
kvp2.bulk24.phasemiddle.tighttight.s20260914,kv_constrained_online,high,middle,tight,20260914,True,success,0.9117647058823529,0.9117647058823529,1.0,24,0.9166666666666666,10,0.9,1.0523333333333333,2093,2778,342
kvp2.bulk24.phasemiddle.tighttight.s20260912,least_laxity_first,high,middle,tight,20260912,False,success,0.4117647058823529,0.4117647058823529,1.0,24,0.5833333333333334,10,0.0,1.0695,3190,3423,0
kvp2.bulk24.phasemiddle.tighttight.s20260914,least_laxity_first,high,middle,tight,20260914,True,success,0.6764705882352942,0.6764705882352942,1.0,24,0.9166666666666666,10,0.1,1.0848333333333333,2103,2635,0
kvp2.bulk24.phasemiddle.tighttight.s20260913,kv_constrained_online,high,middle,tight,20260913,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.75,10,0.8,1.1125,1808,4532,413
kvp2.bulk24.phasemiddle.tighttight.s20260913,least_laxity_first,high,middle,tight,20260913,False,success,0.5882352941176471,0.5882352941176471,1.0,24,0.75,10,0.2,1.1651666666666667,2327,4123,0
kvp2.bulk24.phasemiddle.tighttight.s20260915,kv_constrained_online,high,middle,tight,20260915,True,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.084,2079,4973,388
kvp2.bulk24.phasemiddle.tighttight.s20260915,least_laxity_first,high,middle,tight,20260915,True,success,0.47058823529411764,0.47058823529411764,1.0,24,0.5416666666666666,10,0.3,1.0893333333333333,3355,3987,0
kvp2.bulk24.phaselate.tightloose.s20260910,least_laxity_first,high,late,loose,20260910,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.1183333333333334,2805,4156,0
kvp2.bulk24.phaselate.tightloose.s20260912,least_laxity_first,high,late,loose,20260912,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.0695,3239,3420,0
kvp2.bulk24.phaselate.tightloose.s20260911,least_laxity_first,high,late,loose,20260911,False,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.118,3261,3551,0
kvp2.bulk24.phaselate.tightloose.s20260911,kv_constrained_online,high,late,loose,20260911,False,success,0.8529411764705882,0.8529411764705882,1.0,24,0.7916666666666666,10,1.0,1.0831666666666666,2462,4077,3135
kvp2.bulk24.phaselate.tightloose.s20260912,kv_constrained_online,high,late,loose,20260912,False,success,0.7941176470588235,0.7941176470588235,1.0,24,0.7083333333333334,10,1.0,1.038,1864,4269,2714
kvp2.bulk24.phaselate.tightloose.s20260913,least_laxity_first,high,late,loose,20260913,False,success,0.7941176470588235,0.7941176470588235,1.0,24,0.7083333333333334,10,1.0,1.1098333333333332,2125,4298,0
kvp2.bulk24.phaselate.tightloose.s20260914,least_laxity_first,high,late,loose,20260914,True,success,0.8823529411764706,0.8823529411764706,1.0,24,0.8333333333333334,10,1.0,1.0848333333333333,2216,2650,0
kvp2.bulk24.phaselate.tightloose.s20260914,kv_constrained_online,high,late,loose,20260914,True,success,0.9411764705882353,0.9411764705882353,1.0,24,0.9166666666666666,10,1.0,1.0818333333333334,1561,2869,4943
kvp2.bulk24.phaselate.tightloose.s20260913,kv_constrained_online,high,late,loose,20260913,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.0768333333333333,1734,4404,6540
kvp2.bulk24.phaselate.tightloose.s20260910,kv_constrained_online,high,late,loose,20260910,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.086,1944,4723,2935
kvp2.bulk24.phaselate.tightloose.s20260915,least_laxity_first,high,late,loose,20260915,True,success,0.6470588235294118,0.6470588235294118,1.0,24,0.5,10,1.0,1.0818333333333334,3525,3901,0
kvp2.bulk24.phaselate.tightloose.s20260915,kv_constrained_online,high,late,loose,20260915,True,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.1046666666666667,2236,4676,3280
kvp2.bulk24.phaselate.tighttight.s20260910,kv_constrained_online,high,late,tight,20260910,False,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.1053333333333333,2011,4851,535
kvp2.bulk24.phaselate.tighttight.s20260910,least_laxity_first,high,late,tight,20260910,False,success,0.5882352941176471,0.5882352941176471,1.0,24,0.6666666666666666,10,0.4,1.1183333333333334,2805,4156,0
